name,position
Nicos Anastasiades,PRESIDENT
Ioannis Kasoulides,MINISTER OF FOREIGN AFFAIRS
Constantinos Petrides,MINISTER OF FINANCE
Nicos Nouris,MINISTER OF INTERIOR
Charalambos Petrides,MINISTER OF DEFENCE
Prodromos Prodromou,"MINISTER OF EDUCATION, CULTURE, SPORT AND YOUTH"
Yiannis Karousos,"MINISTER OF TRANSPORT, COMMUNICATIONS AND WORKS"
Natasa Pilides,"MINISTER OF ENERGY, COMMERCE AND INDUSTRY"
Costas Kadis,"MINISTER OF AGRICULTURE, RURAL DEVELOPMENT AND ENVIRONMENT"
Kyriakos I. Koushos,MINISTER OF LABOUR AND SOCIAL INSURANCE
Stephie Dracos,MINISTER OF JUSTICE AND PUBLIC ORDER
Michalis Hadjipantela,MINISTER OF HEALTH
Petros Demetriou,DEPUTY MINISTER TO THE PRESIDENT
Vassilios Demetriades,SHIPPING DEPUTY MINISTER TO THE PRESIDENT
Savvas Perdios,DEPUTY MINISTER OF TOURISM
Kyriacos Kokkinos,"DEPUTY MINISTER OF RESEARCH, INNOVATION AND DIGITAL POLICY"
Anastasia Anthousi,DEPUTY MINISTER OF SOCIAL WELFARE
Marios Pelekanos,GOVERNMENT SPOKESMAN
Niovi Parisinou,DEPUTY GOVERNMENT SPOKESWOMAN
Theodosis A. Tsiolas,SECRETARY / COUNCIL OF MINISTERS
