position,title
Q55593905,ambassador to Algeria
Q55593902,ambassador to Andorra
Q55593918,ambassador to Austria
Q55593929,ambassador to France
Q55593944,ambassador to Greece
Q55593952,ambassador to Hungary
Q55593946,ambassador to Kenya
Q55593921,ambassador to the People's Republic of China
Q55593941,ambassador to the Russian Federation
Q55593935,ambassador to Sweden
Q55593925,ambassador to Switzerland
Q55593934,ambassador to Tunisia
Q55593897,ambassador to Ukraine
Q55593907,ambassador to the United States of America
